"study_id","domain","judgement","note"
"PREOPANC_2022","D1 Randomization process","Low","Published allocation description; single-rater Pilot"
"PREOPANC_2022","D2 Deviations from intended interventions","Some concerns","Open-label oncology trial; Pilot provisional"
"PREOPANC_2022","D3 Missing outcome data","Low","ITT survival reported; Pilot provisional"
"PREOPANC_2022","D4 Measurement of the outcome","Low","OS objective; Pilot provisional"
"PREOPANC_2022","D5 Selection of the reported result","Low","Pre-specified OS; Pilot provisional"
"PREOPANC_2022","Overall","Some concerns","Driven by open-label D2; NOT dual-reviewer"
"Prep02_JSAP05","D1 Randomization process","Low","RCT; abstract/full report; Pilot provisional"
"Prep02_JSAP05","D2 Deviations from intended interventions","Some concerns","Open-label; Pilot provisional"
"Prep02_JSAP05","D3 Missing outcome data","Some concerns","Follow-up details limited in extract source; Pilot"
"Prep02_JSAP05","D4 Measurement of the outcome","Low","OS objective; Pilot provisional"
"Prep02_JSAP05","D5 Selection of the reported result","Some concerns","Extract partly from abstract; Pilot provisional"
"Prep02_JSAP05","Overall","Some concerns","NOT dual-reviewer; verify against full paper for L2"
"ESPAC5_2023","D1 Randomization process","Low","Multicentre RCT; Pilot provisional"
"ESPAC5_2023","D2 Deviations from intended interventions","Some concerns","Open-label multi-arm feasibility; Pilot provisional"
"ESPAC5_2023","D3 Missing outcome data","Some concerns","Feasibility; short follow-up; Pilot provisional"
"ESPAC5_2023","D4 Measurement of the outcome","Low","OS objective; Pilot provisional"
"ESPAC5_2023","D5 Selection of the reported result","Some concerns","Combined neoadjuvant arms for Pilot; Pilot provisional"
"ESPAC5_2023","Overall","Some concerns","Feasibility design; NOT dual-reviewer"
