gene,category,description
Vdac1,锚定与接触位点,线粒体外膜VDAC通道
Vdac2,锚定与接触位点,线粒体外膜VDAC通道
Vdac3,锚定与接触位点,线粒体外膜VDAC通道
Itpr1,锚定与接触位点,内质网IP3受体
Itpr2,锚定与接触位点,内质网IP3受体
Itpr3,锚定与接触位点,内质网IP3受体
Hspa9,锚定与接触位点,GRP75 MAM tethering复合体
Mfn1,锚定与接触位点,线粒体-ER tethering
Mfn2,锚定与接触位点,线粒体-ER tethering
Phb2,锚定与接触位点,MAM scaffold
Sigmar1,锚定与接触位点,MAM lipid microdomain
Pacs2,锚定与接触位点,ER-线粒体锚定
Fis1,锚定与接触位点,线粒体分裂与MAM
Bap31,锚定与接触位点,ER-线粒体接触
Mtch2,锚定与接触位点,MAM蛋白
Cisd3,锚定与接触位点,MAM iron-sulfur
Ptpip51,锚定与接触位点,MAM tether
Pdzd8,锚定与接触位点,MAM tether
Vapb,锚定与接触位点,ER contact
Vapa,锚定与接触位点,ER contact
Rras2,锚定与接触位点,MAM assembly
Mcu,钙离子转运,mitochondrial calcium uniporter
Micu1,钙离子转运,MCU gatekeeper
Micu2,钙离子转运,MCU gatekeeper
Micu3,calcium transport,MCU gatekeeper
Slc8a1,钙离子转运,Na+/Ca2+ exchanger
Atp2a2,钙离子转运,SERCA2
Camk2d,钙离子转运,CaMKII
Calm1,钙离子转运,calmodulin
Calm2,钙离子转运,calmodulin
Calm3,钙离子转运,calmodulin
Pld6,lipid metabolism,MitoPLD
Cpt1a,lipid metabolism,fatty acid oxidation
Cpt1b,lipid metabolism,fatty acid oxidation
Acsl4,lipid metabolism,fatty acid activation
Lpin1,lipid metabolism,phosphatidic acid
Dgat2,lipid metabolism,triacylglycerol
Osbp5,lipid metabolism,lipid transfer
Pla2g6,lipid metabolism,phospholipase A2
Dnm1l,mitochondrial dynamics,Drp1
Opa1,mitochondrial dynamics,fusion
Mff,mitochondrial dynamics,Drp1 receptor
Pink1,mitochondrial dynamics,mitophagy
Prkn,mitochondrial dynamics,Parkin
Bnip3,mitochondrial dynamics,stress mitophagy
Fundc1,mitochondrial dynamics,mitophagy receptor
Tomm70,mitochondrial dynamics,protein import
Slc25a4,mitochondrial dynamics,ANT1
