gene,category,description
VDAC1,锚定与接触位点,线粒体外膜VDAC通道
VDAC2,锚定与接触位点,线粒体外膜VDAC通道
VDAC3,锚定与接触位点,线粒体外膜VDAC通道
ITPR1,锚定与接触位点,内质网IP3受体
ITPR2,锚定与接触位点,内质网IP3受体
ITPR3,锚定与接触位点,内质网IP3受体
HSPA9,锚定与接触位点,GRP75 MAM tethering复合体
MFN1,锚定与接触位点,线粒体-ER tethering
MFN2,锚定与接触位点,线粒体-ER tethering
PHB2,锚定与接触位点,MAM scaffold
SIGMAR1,锚定与接触位点,MAM脂质微域
PACS2,锚定与接触位点,ER-线粒体锚定
FIS1,锚定与接触位点,线粒体分裂与MAM
BAP31,锚定与接触位点,ER-线粒体接触
MTCH2,锚定与接触位点,MAM蛋白
CISD3,锚定与接触位点,MAM铁硫簇蛋白
PTPIP51,锚定与接触位点,MAM tether
PDZD8,锚定与接触位点,MAM tether
VAPB,锚定与接触位点,ER接触位点
VAPA,锚定与接触位点,ER接触位点
RRAS2,锚定与接触位点,MAM组装
MCU,钙离子转运,线粒体钙 uniporter
MICU1,钙离子转运,MCU gatekeeper
MICU2,钙离子转运,MCU gatekeeper
MICU3,钙离子转运,MCU gatekeeper
SLC8A1,钙离子转运,Na+/Ca2+ exchanger
ATP2A2,钙离子转运,SERCA2 ER钙泵
CAMK2D,钙离子转运,CaMKII信号
CALM1,钙离子转运,钙调蛋白
CALM2,钙离子转运,钙调蛋白
CALM3,钙离子转运,钙调蛋白
PLD6,脂质代谢与转运,MitoPLD MAM磷脂酶
CPT1A,脂质代谢与转运,脂肪酸氧化
CPT1B,脂质代谢与转运,脂肪酸氧化
ACSL4,脂质代谢与转运,脂肪酸激活
LPIN1,脂质代谢与转运,磷脂酸代谢
DGAT2,脂质代谢与转运,甘油三酯合成
OSBPL5,脂质代谢与转运,脂质转移
PLA2G6,脂质代谢与转运,磷脂酶A2
DNM1L,线粒体动力学与应激,Drp1线粒体分裂
OPA1,线粒体动力学与应激,线粒体融合
MFF,线粒体动力学与应激,Drp1受体
PINK1,线粒体动力学与应激,线粒体自噬
PRKN,线粒体动力学与应激,Parkin线粒体自噬
BNIP3,线粒体动力学与应激,线粒体自噬/应激
FUNDC1,线粒体动力学与应激,线粒体自噬受体
TOMM70,线粒体动力学与应激,线粒体蛋白输入
SLC25A4,线粒体动力学与应激,ANT1线粒体ADP/ATP
